text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
I belong to the SC category. I want an education loan for nursing. My annual family income is Rs 319769 and I need around 10.5 lakh.,Yes,319769,Education,NA,1050487,1050487,Postgraduate,nursing,technical,Yes
I am an SC student and my family income is 4.9 lakhs. I want to study medical. My course fee is 2525260 rupees and I need a loan of 24.7 lakhs.,Yes,489841,Education,NA,2525260,2468454,12th,medical,management,Yes
"I need a loan to study law. I am an SC student, my income is ₹174837, and the course fee is 2403083 rupees.",Yes,174837,Education,NA,2403083,211253,Postgraduate,law,management,Yes
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 4.9 lakh and I require 10.2 lakhs.,Yes,494033,Education,NA,1024040,1024040,Graduate,engineering,management,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is 148122 rupees and the project will cost about 357218 rupees.,Yes,148122,Business,fisheries,357218,287031,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is ₹467082 and I need around 1271524 rupees.,Yes,467082,Education,NA,2978195,1271524,12th,medical,management,Yes
I want to open a repair shop. I am an SC beneficiary and my yearly family income is Rs 412408. I require about Rs 433325.,Yes,412408,Business,repair shop,526221,433325,NA,NA,NA,NA
"I need a loan to study MBA. I am an SC student, my income is ₹330182, and the course fee is ₹2379420.",Yes,330182,Education,NA,2379420,551166,Postgraduate,MBA,technical,Yes
My category is not SC. I want to start a transport business.,No,106370,Business,transport,384970,334970,NA,NA,NA,NA
I am an SC beneficiary. My family income is 1.2 lakhs. I want to start a fisheries business and need a loan of 92579 rupees.,Yes,119351,Business,fisheries,190176,92579,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is 2.9 lakh and I need around 15.6 lakh.,Yes,294458,Education,NA,2270617,1562769,Postgraduate,medical,professional,Yes
I am from SC category and want financial help for my fisheries. The total project cost is ₹355602 and I need 2.6 lakhs as loan. My annual income is ₹330829.,Yes,330829,Business,fisheries,355602,258298,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is 1.7 lakh and the project will cost about Rs 421604.,Yes,167360,Business,computer centre,421604,372346,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is ₹201724 and I require 16.0 lakh.,Yes,201724,Education,NA,3552502,1601335,Graduate,pharmacy,medical,Yes
I do not belong to the SC category. My family income is Rs 266408 and I need a loan for a small manufacturing.,No,266408,Business,small manufacturing,391872,341872,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a small manufacturing and need 3.3 lakhs.,No,476834,Business,small manufacturing,375644,325644,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is 1.4 lakh. I require about 2.6 lakhs.,Yes,140384,Business,repair shop,275086,262353,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is ₹373683, and the course fee is 19.7 lakhs.",Yes,373683,Education,NA,1974376,1974376,12th,nursing,technical,Yes
My family earns around 2.8 lakhs per year. I belong to the SC community and want to start a transport. I need around 1.4 lakhs.,Yes,276201,Business,transport,185857,136420,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is 367209 rupees and I need 3.2 lakhs as loan. My annual income is 498010 rupees.,Yes,498010,Business,computer centre,367209,322250,NA,NA,NA,NA
"My family earns ₹147767 per year. I am an SC beneficiary and want to pursue MCA, which is a medical course. The fee is 15.4 lakh.",Yes,147767,Education,NA,1543430,1543430,Graduate,MCA,medical,Yes
I belong to the SC category. I want an education loan for MBA. My annual family income is 403767 rupees and I need around 1005771 rupees.,Yes,403767,Education,NA,2082675,1005771,12th,MBA,medical,Yes
My family earns around 4.3 lakh per year. I belong to the SC community and want to start a fisheries. I need around 2.1 lakh.,Yes,432738,Business,fisheries,252193,212749,NA,NA,NA,NA
I am an SC student and my family income is ₹465244. I want to study pharmacy. My course fee is ₹3282266 and I need a loan of ₹3282266.,Yes,465244,Education,NA,3282266,3282266,Postgraduate,pharmacy,professional,Yes
"I need a loan to study law. I am an SC student, my income is 1.7 lakhs, and the course fee is 1.1 lakhs.",Yes,165406,Education,NA,111020,111020,12th,law,management,Yes
"My family earns ₹465141 per year. I am an SC beneficiary and want to pursue MBA, which is a medical course. The fee is 15.2 lakhs.",Yes,465141,Education,NA,1522702,1522702,Graduate,MBA,medical,Yes
I want to open a computer centre. I am an SC beneficiary and my yearly family income is Rs 482293. I require about 2.0 lakhs.,Yes,482293,Business,computer centre,232677,203327,NA,NA,NA,NA
I want to open a small manufacturing. I am an SC beneficiary and my yearly family income is 1.9 lakh. I require about 1.4 lakh.,Yes,191196,Business,small manufacturing,167063,137966,NA,NA,NA,NA
"I need a loan to study BTech. I am an SC student, my income is 3.6 lakhs, and the course fee is 2491900 rupees.",Yes,359538,Education,NA,2491900,2491900,12th,BTech,professional,Yes
"I need a loan to study BTech. I am an SC student, my income is Rs 141841, and the course fee is 34.3 lakh.",Yes,141841,Education,NA,3432550,429503,Graduate,BTech,medical,Yes
"My family earns Rs 385136 per year. I am an SC beneficiary and want to pursue BTech, which is a professional course. The fee is 2848633 rupees.",Yes,385136,Education,NA,2848633,2848633,Graduate,BTech,professional,Yes
I want to open a food business. I am an SC beneficiary and my yearly family income is ₹182394. I require about ₹372406.,Yes,182394,Business,food business,390503,372406,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹110929 and I need a loan for a food business.,No,110929,Business,food business,164315,114315,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 3.3 lakh and I require 3.3 lakhs.,Yes,333134,Education,NA,1546424,333172,Graduate,nursing,medical,Yes
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is Rs 437514 and I require ₹497427.,Yes,437514,Education,NA,904804,497427,12th,pharmacy,medical,Yes
I am an SC student and my family income is 102487 rupees. I want to study MCA. My course fee is 3827630 rupees and I need a loan of Rs 1531833.,Yes,102487,Education,NA,3827630,1531833,Graduate,MCA,medical,Yes
I belong to Scheduled Caste and want to start a small transport. My income is 4.3 lakhs and the project will cost about ₹347558.,Yes,428614,Business,transport,347558,248781,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is 1.2 lakhs, and the course fee is Rs 1848356.",Yes,117755,Education,NA,1848356,818958,Graduate,nursing,medical,Yes
I am an SC student and my family income is Rs 468828. I want to study engineering. My course fee is ₹3503086 and I need a loan of 35.0 lakh.,Yes,468828,Education,NA,3503086,3503086,Graduate,engineering,technical,Yes
I want to open a transport. I am an SC beneficiary and my yearly family income is 397828 rupees. I require about 318132 rupees.,Yes,397828,Business,transport,343289,318132,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 496270 rupees and I require 1901366 rupees.,Yes,496270,Education,NA,2065437,1901366,Postgraduate,BTech,medical,Yes
"My family earns 5.0 lakhs per year. I am an SC beneficiary and want to pursue MBA, which is a professional course. The fee is 1750917 rupees.",Yes,497044,Education,NA,1750917,1379488,Postgraduate,MBA,professional,Yes
I belong to Scheduled Caste and want to start a small small manufacturing. My income is ₹315977 and the project will cost about 2.9 lakhs.,Yes,315977,Business,small manufacturing,287260,187797,NA,NA,NA,NA
I am an SC beneficiary. My family income is 126233 rupees. I want to start a tailoring business and need a loan of ₹101216.,Yes,126233,Business,tailoring,136582,101216,NA,NA,NA,NA
My family earns around 161235 rupees per year. I belong to the SC community and want to start a poultry. I need around 90456 rupees.,Yes,161235,Business,poultry,139226,90456,NA,NA,NA,NA
I am not from Scheduled Caste and want financial assistance for my small manufacturing.,No,476105,Business,small manufacturing,286003,236003,NA,NA,NA,NA
I do not belong to the SC category. My family income is 2.0 lakhs and I need a loan for a computer centre.,No,195136,Business,computer centre,250665,200665,NA,NA,NA,NA
I do not belong to the SC category. My family income is 2.9 lakh and I need a loan for a food business.,No,289651,Business,food business,372776,322776,NA,NA,NA,NA
My family earns around 4.6 lakhs per year. I belong to the SC community and want to start a service business. I need around 169598 rupees.,Yes,464917,Business,service business,265920,169598,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is 1.2 lakhs and I need 86379 rupees as loan. My annual income is 2.8 lakhs.,Yes,276522,Business,service business,118974,86379,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is 350293 rupees, and the course fee is Rs 2480586.",Yes,350293,Education,NA,2480586,2098228,Postgraduate,MCA,professional,Yes
"My family earns 3.3 lakhs per year. I am an SC beneficiary and want to pursue MBA, which is a professional course. The fee is 2873993 rupees.",Yes,328347,Education,NA,2873993,2873993,Graduate,MBA,professional,Yes
I am an SC beneficiary. My family income is 1.6 lakhs. I want to start a service business business and need a loan of 2.4 lakhs.,Yes,161260,Business,service business,266447,244719,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is Rs 426409 and the project will cost about 1.4 lakh.,Yes,426409,Business,transport,138284,66158,NA,NA,NA,NA
My family earns around 226238 rupees per year. I belong to the SC community and want to start a computer centre. I need around 2.1 lakhs.,Yes,226238,Business,computer centre,299024,210257,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is ₹242923 and I need around ₹1245878.,Yes,242923,Education,NA,1407190,1245878,12th,engineering,professional,Yes
